titulo,palabras_clave,fuente,contenido,seccion,liga,fecha,titulo_preprocesado,contenido_preprocesado,texto_completo,texto_filtrado,coincidencias
Emilio Romano asume como presidente de la ABM; promete más digitalización,presidente banco director asociación protesta americo,expansion,El director de Bank of America rindió protesta como nuevo presidente de la Asociación de Bancos de México y dijo que trabajará en reducir el uso del efectivo y aumentar la inclusión financiera.,economia,https://expansion.mx/economia/2025/05/09/emilio-romano-asume-como-presidente-de-la-abm-promete-mas-digitalizacion,09/05/2025,emilio romano asumir como presidente de el abm prometer más digitalización,el director de bank of americo rendir protesta como nuevo presidente de el asociación de banco de méxico y decir que trabajar en reducir el uso del efectivo y aumentar el inclusión financiero,Emilio Romano asume como presidente de la ABM; promete más digitalización El director de Bank of America rindió protesta como nuevo presidente de la Asociación de Bancos de México y dijo que trabajará en reducir el uso del efectivo y aumentar la inclusión financiera.,presidente digitalización director bank protesta presidente banco uso efectivo inclusión,oma
"#Crónica | Una fiesta bancaria entre laberintos, humo blanco y optimismo",deuda humo blanco haciendo banxico optimismo,expansion,"La ABM presumió que el sistema financiero es sólido y bien capitalizado, pero Sheinbaum, Banxico y Hacienda le recuerdan que tiene una deuda con la población, la inclusión y servicios más accesibles.",economia,https://expansion.mx/economia/2025/05/09/cronica-una-fiesta-bancaria-entre-laberintos-humo-blanco-y-optimismo,09/05/2025,crónico uno fiesta bancario entre laberinto humo blanco y optimismo,el abm presumir que el sistema financiero ser sólir y bien capitalizado pero sheinbaum banxico y haciendo él recordar que tener uno deuda con el población el inclusión y servicio más accesibl,"#Crónica | Una fiesta bancaria entre laberintos, humo blanco y optimismo La ABM presumió que el sistema financiero es sólido y bien capitalizado, pero Sheinbaum, Banxico y Hacienda le recuerdan que tiene una deuda con la población, la inclusión y servicios más accesibles.",fiesta laberinto humo optimismo sistema deuda población inclusión servicio,banxico
Banxico pide a la banca creatividad para dar soluciones financieras accesibles,financiero banxico sistema banca banco llamado,expansion,"La gobernadora del Banco de México (Banxico), Victoria Rodríguez, hizo un llamado a la banca para que se desarrolle un sistema financiero más inclusivo apoyado de los beneficios de la tecnología.",economia,https://expansion.mx/economia/2025/05/08/banxico-pide-a-la-banca-creatividad-para-dar-soluciones-financieras-accesibles,09/05/2025,banxico pedir a el banco creatividad para dar solución financiero accesibl,el gobernadora del banco de méxico banxico victoria rodríguez hacer uno llamado a el banca para que él desarrollar uno sistema financiero más inclusivo apoyado de el beneficio de el tecnología,"Banxico pide a la banca creatividad para dar soluciones financieras accesibles La gobernadora del Banco de México (Banxico), Victoria Rodríguez, hizo un llamado a la banca para que se desarrolle un sistema financiero más inclusivo apoyado de los beneficios de la tecnología.",banco creatividad solución gobernadora banco victoria banca sistema beneficio tecnología,banxico
Gobierno y bancos acuerdan aumentar 3.5% anual el financiamiento a pymes,pyme periodo presidenta plan claudio abm,expansion,"La presidenta Claudia Sheinbaum y la ABM suscribieron el plan para el periodo 2025-2030, en el que también buscan impulsar la digitalización, formalización y bancarización de estas unidades.",economia,https://expansion.mx/economia/2025/05/08/gobierno-y-bancos-acuerdan-aumentar-3-5-anual-el-financiamiento-a-pymes,09/05/2025,gobierno y banco acordar aumentar anual el financiamiento a pyme,el presidenta claudio sheinbaum y el abm suscribir el plan para el periodo en el que también buscar impulsar el digitalización formalización y bancarización de este unidad,"Gobierno y bancos acuerdan aumentar 3.5% anual el financiamiento a pymes La presidenta Claudia Sheinbaum y la ABM suscribieron el plan para el periodo 2025-2030, en el que también buscan impulsar la digitalización, formalización y bancarización de estas unidades.",gobierno banco financiamiento pyme presidenta plan periodo digitalización formalización bancarización unidad,financiamiento
"Citigroup enfrenta demanda de 1,000 mmd en caso de fraude de petrolera mexicana",citigroup pese oceanografía dólares petrolero millón,expansion,"Los demandantes afirman que Citigroup adelantó 3,300 millones de dólares a Oceanografía entre 2008 y 2014 pese a saber que la empresa tenía demasiada deuda y había estado falsificando firmas de Pemex.",economia,https://expansion.mx/economia/2025/05/08/citigroup-enfrenta-demanda-oceanografia,08/05/2025,citigroup enfrento demanda de mmd en caso de fraude de petrolero mexicano,el demandante afirmar que citigroup adelantar millón de dólares a oceanografía entre y pese a saber que el empresa tener demasiado deuda y haber estar falsificar firma de pemex,"Citigroup enfrenta demanda de 1,000 mmd en caso de fraude de petrolera mexicana Los demandantes afirman que Citigroup adelantó 3,300 millones de dólares a Oceanografía entre 2008 y 2014 pese a saber que la empresa tenía demasiada deuda y había estado falsificando firmas de Pemex.",citigroup demanda caso fraude petrolero demandante millón dólares oceanografía pese empresa deuda firma pemex,demanda
Banqueros ven 'inicios' de desaceleración del crédito,crédito economía desaceleración empresa persona banca,expansion,"Ante la desaceleración de la economía, la banca mexicana espera que el crédito que dan a empresas y personas crezca 7.1% en una economía que este año crecerá 0.2%.",economia,https://expansion.mx/economia/2025/05/08/convencion-bancaria-2025-banqueros-desaceleracion-credito,08/05/2025,banquero ver inicio de desaceleración del crédito,ante el desaceleración de el economía el banca mexicano esperar que el crédito que dar a empresa y persona crecer en uno economía que este año crecer,"Banqueros ven 'inicios' de desaceleración del crédito Ante la desaceleración de la economía, la banca mexicana espera que el crédito que dan a empresas y personas crezca 7.1% en una economía que este año crecerá 0.2%.",inicio desaceleración crédito desaceleración banca crédito empresa persona economía año,desaceleración
Inflación en abril se ubicó en 3.93% y superó expectativas del mercado,producto precio genérico alza mercado jitomate,expansion,"Los productos genéricos que más contribuyeron al alza en los precios fueron el jitomate, la carne de res y el aguacate.",economia,https://expansion.mx/economia/2025/05/08/inflacion-en-abril-se-ubico-en-3-93-y-supero-expectativas-del-mercado,08/05/2025,inflación en abril él ubicar en y superar expectativa del mercado,el producto genérico que más contribuir al alza en el precio ser el jitomate el carne de r y el aguacate,"Inflación en abril se ubicó en 3.93% y superó expectativas del mercado Los productos genéricos que más contribuyeron al alza en los precios fueron el jitomate, la carne de res y el aguacate.",inflación abril expectativa mercado producto alza precio jitomate carne r aguacate,"expectativas, inflación, oma"
La Fed mantiene las tasas y menciona riesgo de mayor inflación y desempleo,desempleo reserva economía sólido ritmo general,expansion,"La economía en general ""ha seguido expandiéndose a un ritmo sólido"", señaló la Reserva Federal en su comunicado de política monetaria.",economia,https://expansion.mx/economia/2025/05/07/la-fed-mantiene-las-tasas-y-menciona-riesgo-de-mayor-inflacion-y-desempleo,07/05/2025,el fed mantener el tasa y mencionar riesgo de mayor inflación y desempleo,el economía en general haber seguir expandeir él a uno ritmo sólido señalar el reserva federal en su comunicado de política monetario,"La Fed mantiene las tasas y menciona riesgo de mayor inflación y desempleo La economía en general ""ha seguido expandiéndose a un ritmo sólido"", señaló la Reserva Federal en su comunicado de política monetaria.",tasa riesgo inflación desempleo general expandeir ritmo reserva comunicado política,"desempleo, inflación"
Banxico prevé nuevos recortes a la tasa si la inflación se mantiene estable,estable entorno gobernadora incierto central banco,expansion,La gobernadora del banco central advirtió que el incierto entorno y una posible desaceleración en Estados Unidos sugieren que la economía mexicana puede presentar atonía durante 2025.,economia,https://expansion.mx/economia/2025/05/07/banxico-nuevos-recortes-a-tasa-inflacion-estable-rodriguez,07/05/2025,banxico prever nuevo recorte a el tasa si el inflación él mantener estable,el gobernadora del banco central advertir que el incierto entorno y uno posible desaceleración en estados unidos sugerir que el economía mexicano poder presentar atonir durante,Banxico prevé nuevos recortes a la tasa si la inflación se mantiene estable La gobernadora del banco central advirtió que el incierto entorno y una posible desaceleración en Estados Unidos sugieren que la economía mexicana puede presentar atonía durante 2025.,recorte tasa inflación gobernadora banco entorno desaceleración economía,"banxico, inflación"
"Banxico aún tiene margen para bajar tasa clave, asegura Heath",margen tasa manteniéndola referencia real territorio,expansion,"El subgobernador precisó que dada la baja de la tasa real ex-ante hay margen para ajustar la de referencia, pero manteniéndola en territorio restrictivo porque aún no es tiempo de llevarla a neutral.",economia,https://expansion.mx/economia/2025/05/07/banxico-aun-tiene-margen-para-bajar-tasa-clave-asegura-heath,07/05/2025,banxico aún tener margen para bajar tasa clave asegurar heath,el subgobernador precisar que dar el baja de el tasa real exante haber margen para ajustar el de referencia pero manteniéndola en territorio restrictivo porque aún no ser tiempo de llevar él a neutral,"Banxico aún tiene margen para bajar tasa clave, asegura Heath El subgobernador precisó que dada la baja de la tasa real ex-ante hay margen para ajustar la de referencia, pero manteniéndola en territorio restrictivo porque aún no es tiempo de llevarla a neutral.",banxico margen tasa clave subgobernador baja tasa margen referencia manteniéndola territorio neutral,banxico
"La banca endurece controles antiterrorismo con abogados, tecnología y cierres",abogado hsbc tecnología cierre equipo banorte,expansion,"Mientras algunos bancos como Multiva y Banorte se asesoran con equipos de abogados, Santander y HSBC optan por tomar las mejores prácticas de subsidiarias en Estados Unidos.",economia,https://expansion.mx/economia/2025/05/07/la-banca-endurece-controles-antiterrorismo-con-abogados-tecnologia-y-cierres,07/05/2025,el banca endurecer control antiterrorismo con abogado tecnologío y cierre,mientras alguno banco como multiva y banorte él asesorar con equipo de abogado santander y hsbc optir por tomar el mejor práctica de subsidiaria en estados unidos,"La banca endurece controles antiterrorismo con abogados, tecnología y cierres Mientras algunos bancos como Multiva y Banorte se asesoran con equipos de abogados, Santander y HSBC optan por tomar las mejores prácticas de subsidiarias en Estados Unidos.",banca control antiterrorismo abogado banco multiva equipo abogado práctica,banorte
Los aranceles y las compras por internet aceleran la recaudación de Hacienda,hacienda gravamen recaudación impuesto internet importación,expansion,"De todos los gravámenes, los impuestos de importación fueron los que más incrementaron en el primer trimestre de 2025, informa Hacienda.",economia,https://expansion.mx/economia/2025/05/06/impuesto-importacion-temu-aranceles-recaudacion-hacienda,06/05/2025,el arancel y el compra por internet aceleran el recaudación de hacienda,de todo el gravamen el impuesto de importación ser el que más incrementar en el primero trimestre de informar hacienda,"Los aranceles y las compras por internet aceleran la recaudación de Hacienda De todos los gravámenes, los impuestos de importación fueron los que más incrementaron en el primer trimestre de 2025, informa Hacienda.",compra recaudación hacienda gravamen impuesto importación trimestre hacienda,aranceles
Los Cetes a 28 días registran tercera semana consecutiva a la baja,tasa cet corto méxico plazo mes,expansion,Los rendimientos de los Cetes de corto plazo bajaron la tasa de retorno ante la expectativa de que este mes el Banco de México (Banxico) haga un nuevo recorte a la tasa de interés.,economia,https://expansion.mx/economia/2025/05/06/los-cetes-a-28-dias-registran-tercera-semana-consecutiva-a-la-baja,06/05/2025,el cet a día registrar tercero semana consecutivo a el baja,el rendimiento de el cet de corto plazo bajar el tasa de retorno ante el expectativa de que este mes el banco de méxico banxico hacer uno nuevo recorte a el tasa de interés,Los Cetes a 28 días registran tercera semana consecutiva a la baja Los rendimientos de los Cetes de corto plazo bajaron la tasa de retorno ante la expectativa de que este mes el Banco de México (Banxico) haga un nuevo recorte a la tasa de interés.,cet día semana baja rendimiento cet plazo tasa retorno expectativa mes banco recorte tasa interés,cetes
La inversión extranjera gira de la manufactura al comercio,manufactura comercio inversión frente trimestre sector,expansion,"En el primer trimestre del año, el valor de los anuncios de inversión se concentró en el sector comercio, con 42%, frente a 24% de la manufactura, según datos de la Secretaría de Economía.",economia,https://expansion.mx/economia/2025/05/05/inversion-extranjera-mexico-ahora-apuesta-comercio,05/05/2025,el inversión extranjero gira de el manufactura al comercio,en el primero trimestre del año el valor de el anuncio de inversión él concentrar en el sector comercio con frente a de el manufactura según dato de el secretaría de economía,"La inversión extranjera gira de la manufactura al comercio En el primer trimestre del año, el valor de los anuncios de inversión se concentró en el sector comercio, con 42%, frente a 24% de la manufactura, según datos de la Secretaría de Economía.",inversión gira manufactura comercio trimestre año valor anuncio inversión sector frente manufactura dato secretaría economía,inversión
"EU: Aranceles, recortes fiscales y desregulación de Trump impulsarán inversión",recorte desregulación congreso trump republicano tributario,expansion,"Scott Bessent hizo hincapié en el proyecto de ley tributaria republicana que se está tramitando en el Congreso, que haría permanentes muchas partes de los recortes del primer mandato.",economia,https://expansion.mx/economia/2025/05/05/eu-aranceles-recortes-fiscales-y-desregulacion-de-trump-impulsaran-inversion,05/05/2025,eu arancel recorte fiscal y desregulación de trump impulsar inversión,scott bessent hacer hincapié en el proyecto de ley tributario republicano que él estar tramitar en el congreso que hacer permanente mucho parte de el recorte del primero mandato,"EU: Aranceles, recortes fiscales y desregulación de Trump impulsarán inversión Scott Bessent hizo hincapié en el proyecto de ley tributaria republicana que se está tramitando en el Congreso, que haría permanentes muchas partes de los recortes del primer mandato.",recorte desregulación trump inversión hincapié proyecto ley congreso parte recorte mandato,"aranceles, inversión"
"Trump anuncia nuevos aranceles, ahora contra las películas extranjeras",hollywood tendencia presidente estudio extranjero cineasta,expansion,El presidente asegura que Hollywood es devastado por una tendencia de estudios y cineastas estadounidense que filman fuera del país.,economia,https://expansion.mx/economia/2025/05/04/trump-anuncia-aranceles-peliculas-extranjeras,05/05/2025,trump anunciar nuevo arancel ahora contra el película extranjero,el presidente asegurar que hollywood ser devastar por uno tendencia de estudio y cineasta estadounidense que filmar fuera del país,"Trump anuncia nuevos aranceles, ahora contra las películas extranjeras El presidente asegura que Hollywood es devastado por una tendencia de estudios y cineastas estadounidense que filman fuera del país.",arancel película extranjero presidente tendencia estudio cineasta país,aranceles
Habrá más inflación y menor crecimiento para 2025 por factores externos,crecimiento inflación débil banxico encuesta externo,expansion,La Encuesta de Expectativas a analistas privados que hace Banxico destaca más inflación y un débil crecimiento ante riesgos de comercio exterior.,economia,https://expansion.mx/economia/2025/05/02/habra-mas-inflacion-y-menor-crecimiento-para-2025-por-factores-externos,02/05/2025,haber más inflación y menor crecimiento para por factor externo,el encuesta de expectativa a analista privado que hacer banxico destacar más inflación y uno débil crecimiento ante riesgo de comercio exterior,Habrá más inflación y menor crecimiento para 2025 por factores externos La Encuesta de Expectativas a analistas privados que hace Banxico destaca más inflación y un débil crecimiento ante riesgos de comercio exterior.,inflación crecimiento factor encuesta expectativa analista banxico inflación crecimiento riesgo comercio,"banxico, inflación"
Recortes y más recaudación por impuestos sellan primer semestre de Sheinbaum,sheinbaum presupuesto octubre ajuste año trimestre,expansion,"De octubre del año pasado al cierre del primer trimestre de 2025, se observan ajustes a los presupuestos de los ramos autónomos y dependencias federales.",economia,https://expansion.mx/economia/2025/05/02/recortes-y-mas-recaudacion-por-impuestos-sellan-primer-semestre-de-sheinbaum,02/05/2025,recorte y más recaudación por impuesto sellan primero semestre de sheinbaum,de octubre del año pasado al cierre del primero trimestre de él observar ajuste a el presupuesto de el ramo autónomo y dependencia federal,"Recortes y más recaudación por impuestos sellan primer semestre de Sheinbaum De octubre del año pasado al cierre del primer trimestre de 2025, se observan ajustes a los presupuestos de los ramos autónomos y dependencias federales.",recorte recaudación impuesto semestre sheinbaum octubre año cierre trimestre ajuste presupuesto ramo dependencia,impuestos
Hacienda descarta alteración de estimaciones por menos remanentes de Banxico,remanent peso millón hacienda costo información,expansion,"De acuerdo con la información de Hacienda, los remanentes por 18,000 millones de pesos representan el 5.9% o la 17ava parte del costo financiero que se pagó en el primer trimestre del año.",economia,https://expansion.mx/economia/2025/04/30/remanentes-de-banxico-menores-a-lo-esperado-hacienda,30/04/2025,hacienda descartar alteración de estimación por menos remanent de banxico,de acuerdo con el información de hacienda el remanent por millón de peso representar el o el avo parte del costo financiero que él pagar en el primero trimestre del año,"Hacienda descarta alteración de estimaciones por menos remanentes de Banxico De acuerdo con la información de Hacienda, los remanentes por 18,000 millones de pesos representan el 5.9% o la 17ava parte del costo financiero que se pagó en el primer trimestre del año.",alteración estimación remanent banxico acuerdo información hacienda remanent millón peso parte costo trimestre año,banxico
México evita recesión técnica al crecer 0.2% en el primer trimestre de 2025,sector pib impulsado trimestre agropecuario técnico,expansion,El PIB creció impulsado por el sector agropecuario pese a la debilidad en el sector industrial.,economia,https://expansion.mx/economia/2025/04/30/mexico-se-salva-recesion-tecnica,30/04/2025,méxico evitar recesión técnico al crecer en el primero trimestre de,el pib crecer impulsado por el sector agropecuario pese a el debilidad en el sector industrial,México evita recesión técnica al crecer 0.2% en el primer trimestre de 2025 El PIB creció impulsado por el sector agropecuario pese a la debilidad en el sector industrial.,recesión trimestre sector pese debilidad sector,recesión
"Banamex: Remanentes ""simbólicos"" de Banxico ratifican su autonomía",remanent banco independencia millón gobierno pesos,expansion,"Los remanentes de casi 18,000 millones de pesos que se entregarán al gobierno muestran la independencia del banco central al priorizar la creación de reservas antes que dárselas a Hacienda.",economia,https://expansion.mx/economia/2025/04/29/banamex-remanentes-simbolicos-de-banxico-ratifican-su-autonomia,30/04/2025,banamex remanent simbólico de banxico ratificir su autonomía,el remanent de casi millón de pesos que él entregar al gobierno mostrar el independencia del banco central al priorizar el creación de reserva antes que dar él él a hacienda,"Banamex: Remanentes ""simbólicos"" de Banxico ratifican su autonomía Los remanentes de casi 18,000 millones de pesos que se entregarán al gobierno muestran la independencia del banco central al priorizar la creación de reservas antes que dárselas a Hacienda.",banamex autonomía remanent millón pesos gobierno independencia banco creación reserva hacienda,banxico
Trump firma decreto para aliviar la carga de los aranceles al sector automotriz,sector detroit anuncio warren trump mitin,expansion,"El anuncio se realizó cuando Trump celebrará el martes por la noche sus primeros 100 días de su segundo mandato en un mitin en Warren, cerca de Detroit, corazón de la industria automovilística de EU.",economia,https://expansion.mx/economia/2025/04/29/trump-firma-decreto-para-aliviar-la-carga-de-los-aranceles-al-sector-automotriz,29/04/2025,trump  firma decreto para aliviar el carga de el arancel al sector automotriz,el anuncio él realizar cuando trump celebrar el martes por el noche su primero día de su segundo mandato en uno mitin en warren cerca de detroit corazón de el industria automovilístico de eu,"Trump firma decreto para aliviar la carga de los aranceles al sector automotriz El anuncio se realizó cuando Trump celebrará el martes por la noche sus primeros 100 días de su segundo mandato en un mitin en Warren, cerca de Detroit, corazón de la industria automovilística de EU.",firma decreto carga sector anuncio martes noche día mandato mitin corazón industria,aranceles
Los Cetes a 28 días despiden abril con su rendimiento más bajo desde 2022,mes rendimiento expectativa tasa interés cet,expansion,Los rendimientos de los Cetes a seis meses fueron el plazo con el rendimiento más bajo ante la expectativa de que la tasa de interés baje en los siguientes meses.,economia,https://expansion.mx/economia/2025/04/28/los-cetes-a-28-dias-despiden-abril-con-su-rendimiento-mas-bajo-desde-2022,29/04/2025,el cet a día despedir abril con su rendimiento más bajo desde,el rendimiento de el cet a seis mes ser el plazo con el rendimiento más bajo ante el expectativa de que el tasa de interés baje en el siguiente mes,Los Cetes a 28 días despiden abril con su rendimiento más bajo desde 2022 Los rendimientos de los Cetes a seis meses fueron el plazo con el rendimiento más bajo ante la expectativa de que la tasa de interés baje en los siguientes meses.,cet día abril rendimiento rendimiento cet mes plazo rendimiento expectativa tasa interés mes,cetes
BBVA México estima crecimiento negativo en 2025,crecimiento negativo banco dato méxico recesión,expansion,"El banco dijo que publicará el dato en los próximos días y, a pesar de que espera un crecimiento negativo, descartó una recesión técnica.",economia,https://expansion.mx/economia/2025/04/29/bbva-estima-crecimiento-negativo-mexico-2025,29/04/2025,bbva méxico estimar crecimiento negativo en,el banco decir que publicar el dato en el próximo día y a pesar de que esperar uno crecimiento negativo descartar uno recesión técnico,"BBVA México estima crecimiento negativo en 2025 El banco dijo que publicará el dato en los próximos días y, a pesar de que espera un crecimiento negativo, descartó una recesión técnica.",crecimiento banco dato día pesar crecimiento recesión,recesión
Banco Mundial: Precios de materias primas caerán a niveles anteriores al covid,materia primo precio alto bendición tercio,expansion,"""Los precios más altos de las materias primas han sido una bendición para muchas economías en desarrollo, dos tercios de las cuales son exportadoras de materias primas"", apuntó el organismo.",economia,https://expansion.mx/economia/2025/04/29/banco-mundial-precios-de-materias-primas-caeran-a-niveles-anteriores-al-covid,29/04/2025,banco mundial precio de materia primo caer a nivel anterior al covid,el precio más alto de el materia primo haber ser uno bendición para mucho economía en desarrollo dos tercio de el cual ser exportadora de materia primo apuntar el organismo,"Banco Mundial: Precios de materias primas caerán a niveles anteriores al covid ""Los precios más altos de las materias primas han sido una bendición para muchas economías en desarrollo, dos tercios de las cuales son exportadoras de materias primas"", apuntó el organismo.",banco precio materia primo nivel covid precio materia primo bendición economía desarrollo tercio exportadora materia primo organismo,"materias primas, precios"
